Pokemons:
#####################
Number: 1; Pokemon: bulbasaur; Give: 1SpA; Photo: https://pokemongolife.ru/p/Bulbasaur.png;
Number: 57; Pokemon: primeape; Give: 2Atk; Photo: https://pokemongolife.ru/p/Primeape.png;
Number: 58; Pokemon: growlithe; Give: 1Atk; Photo: https://pokemongolife.ru/p/Growlithe.png;
Number: 59; Pokemon: arcanine; Give: 2Atk; Photo: https://pokemongolife.ru/p/Arcanine.png;
Number: 60; Pokemon: poliwag; Give: 1Spe; Photo: https://pokemongolife.ru/p/Poliwag.png;
Number: 61; Pokemon: poliwhirl; Give: 2Spe; Photo: https://pokemongolife.ru/p/Poliwhirl.png;
Number: 62; Pokemon: poliwrath; Give: 3Def; Photo: https://pokemongolife.ru/p/Poliwrath.png;
Number: 63; Pokemon: abra; Give: 1SpD; Photo: https://pokemongolife.ru/p/Abra.png;
Number: 64; Pokemon: kadabra; Give: 2SpD; Photo: https://pokemongolife.ru/p/Kadabra.png;
Number: 65; Pokemon: alakazam; Give: 3SpD; Photo: https://pokemongolife.ru/p/Alakazam.png;
Number: 66; Pokemon: machop; Give: 1Atk; Photo: https://pokemongolife.ru/p/Machop.png;
Number: 67; Pokemon: machoke; Give: 2Atk; Photo: https://pokemongolife.ru/p/Machoke.png;
Number: 68; Pokemon: machamp; Give: 3Atk; Photo: https://pokemongolife.ru/p/Machamp.png;
Number: 69; Pokemon: bellsprout; Give: 1Atk; Photo: https://pokemongolife.ru/p/Bellsprout.png;
Number: 70; Pokemon: weepinbell; Give: 2Atk; Photo: https://pokemongolife.ru/p/Weepinbell.png;
Number: 71; Pokemon: victreebel; Give: 3Atk; Photo: https://pokemongolife.ru/p/Victreebel.png;
Number: 72; Pokemon: tentacool; Give: 1SpD; Photo: https://pokemongolife.ru/p/Tentacool.png;
Number: 73; Pokemon: tentacruel; Give: 2SpD; Photo: https://pokemongolife.ru/p/Tentacruel.png;
Number: 74; Pokemon: geodude; Give: 1Def; Photo: https://pokemongolife.ru/p/Geodude.png;
Number: 75; Pokemon: graveler; Give: 2Def; Photo: https://pokemongolife.ru/p/Graveler.png;
Number: 76; Pokemon: golem; Give: 3Def; Photo: https://pokemongolife.ru/p/Golem.png;
Number: 77; Pokemon: ponyta; Give: 1Spe; Photo: https://pokemongolife.ru/p/Ponyta.png;
Number: 78; Pokemon: rapidash; Give: 2Spe; Photo: https://pokemongolife.ru/p/Rapidash.png;
Number: 79; Pokemon: slowpoke; Give: 1HP; Photo: https://pokemongolife.ru/p/Slowpoke.png;
Number: 80; Pokemon: slowbro; Give: 2Def; Photo: https://pokemongolife.ru/p/Slowbro.png;
Number: 81; Pokemon: magnemite; Give: 1SpD; Photo: https://pokemongolife.ru/p/Magnemite.png;
Number: 82; Pokemon: magnetone; Give: 2SpD; Photo: https://pokemongolife.ru/p/Magnetone.png;
Number: 83; Pokemon: farfetchd; Give: 1Atk; Photo: https://pokemongolife.ru/p/Farfetch.png;
Number: 84; Pokemon: doduo; Give: 1Atk; Photo: https://pokemongolife.ru/p/Doduo.png;
Number: 85; Pokemon: dodrio; Give: 2Atk; Photo: https://pokemongolife.ru/p/Dodrio.png;
Number: 86; Pokemon: seel; Give: 1SpD; Photo: https://pokemongolife.ru/p/Seel.png;
Number: 87; Pokemon: dewgong; Give: 2SpD; Photo: https://pokemongolife.ru/p/Dewgong.png;
Number: 88; Pokemon: grimer; Give: 1HP; Photo: https://pokemongolife.ru/p/Grimer.png;
Number: 89; Pokemon: muk; Give: 1HP, 1Atk; Photo: https://pokemongolife.ru/p/Muk.png;
Number: 90; Pokemon: shellder; Give: 1Def; Photo: https://pokemongolife.ru/p/Shellder.png;
Number: 91; Pokemon: cloyster; Give: 2Def; Photo: https://pokemongolife.ru/p/Cloyster.png;
Number: 92; Pokemon: gastly; Give: 1SpA; Photo: https://pokemongolife.ru/p/Gastly.png;
Number: 93; Pokemon: haunter; Give: 2SpA; Photo: https://pokemongolife.ru/p/Haunter.png;
Number: 94; Pokemon: gengar; Give: 3SpA; Photo: https://pokemongolife.ru/p/Gengar.png;
Number: 95; Pokemon: onix; Give: 1Def; Photo: https://pokemongolife.ru/p/Onix.png;
Number: 96; Pokemon: drowzee; Give: 1SpD; Photo: https://pokemongolife.ru/p/Drowzee.png;
Number: 97; Pokemon: hypno; Give: 2SpD; Photo: https://pokemongolife.ru/p/Hypno.png;
Number: 98; Pokemon: krabby; Give: 1Atk; Photo: https://pokemongolife.ru/p/Krabby.png;
Number: 99; Pokemon: kingler; Give: 2Atk; Photo: https://pokemongolife.ru/p/Kingler.png;
Number: 100; Pokemon: voltorb; Give: 1Spe; Photo: https://pokemongolife.ru/p/Voltorb.png;
Number: 101; Pokemon: electrode; Give: 2Spe; Photo: https://pokemongolife.ru/p/Electrode.png;
Number: 102; Pokemon: exeggcute; Give: 1Def; Photo: https://pokemongolife.ru/p/Exeggcute.png;
Number: 103; Pokemon: exeggutor; Give: 2SpA; Photo: https://pokemongolife.ru/p/Exeggutor.png;
Number: 104; Pokemon: cubone; Give: 1Def; Photo: https://pokemongolife.ru/p/Cubone.png;
Number: 105; Pokemon: marowak; Give: 2Def; Photo: https://pokemongolife.ru/p/Marowak.png;
Number: 106; Pokemon: hitmonlee; Give: 2Atk; Photo: https://pokemongolife.ru/p/Hitmonlee.png;
Number: 107; Pokemon: hitmonchan; Give: 2SpD; Photo: https://pokemongolife.ru/p/Hitmonchan.png;
Number: 108; Pokemon: lickitung; Give: 2HP; Photo: https://pokemongolife.ru/p/Lickitung.png;
Number: 109; Pokemon: koffing; Give: 1Def; Photo: https://pokemongolife.ru/p/Koffing.png;
Number: 110; Pokemon: weezing; Give: 2Def; Photo: https://pokemongolife.ru/p/Weezing.png;
Number: 111; Pokemon: rhyhorn; Give: 1Def; Photo: https://pokemongolife.ru/p/Rhyhorn.png;
Number: 112; Pokemon: rhydon; Give: 2Atk; Photo: https://pokemongolife.ru/p/Rhydon.png;
Number: 113; Pokemon: chansey; Give: 2HP; Photo: https://pokemongolife.ru/p/Chansey.png;
Number: 114; Pokemon: tangela; Give: 1Def; Photo: https://pokemongolife.ru/p/Tangela.png;
Number: 115; Pokemon: kangaskhan; Give: 2HP; Photo: https://pokemongolife.ru/p/Kangaskhan.png;
Number: 116; Pokemon: horsea; Give: 1SpA; Photo: https://pokemongolife.ru/p/Horsea.png;
Number: 117; Pokemon: seadra; Give: 1Def, 1SpA; Photo: https://pokemongolife.ru/p/Seadra.png;
Number: 118; Pokemon: goldeen; Give: 1Atk; Photo: https://pokemongolife.ru/p/Goldeen.png;
Number: 119; Pokemon: seaking; Give: 2Atk; Photo: https://pokemongolife.ru/p/Seaking.png;
Number: 120; Pokemon: staryu; Give: 1Spe; Photo: https://pokemongolife.ru/p/Staryu.png;
Number: 121; Pokemon: starmie; Give: 2Spe; Photo: https://pokemongolife.ru/p/Starmie.png;
Number: 122; Pokemon: mr. mime; Give: 2SpD; Photo: https://pokemongolife.ru/p/Mr-Mime.png;
Number: 123; Pokemon: scyther; Give: 1Atk; Photo: https://pokemongolife.ru/p/Scyther.png;
Number: 124; Pokemon: jynx; Give: 2SpA; Photo: https://pokemongolife.ru/p/Jynx.png;
Number: 125; Pokemon: electabuzz; Give: 2Spe; Photo: https://pokemongolife.ru/p/Electabuzz.png;
Number: 126; Pokemon: magmar; Give: 2SpA; Photo: https://pokemongolife.ru/p/Magmar.png;
Number: 127; Pokemon: pinsir; Give: 2Atk; Photo: https://pokemongolife.ru/p/Pinsir.png;
Number: 128; Pokemon: tauros; Give: 1Atk; Photo: https://pokemongolife.ru/p/Tauros.png;
Number: 129; Pokemon: magikarp; Give: 1Spe; Photo: https://pokemongolife.ru/p/Magikarp.png;
Number: 130; Pokemon: gyarados; Give: 2Atk; Photo: https://pokemongolife.ru/p/Gyarados.png;
Number: 131; Pokemon: lapras; Give: 2HP; Photo: https://pokemongolife.ru/p/Lapras.png;
Number: 132; Pokemon: ditto; Give: 1HP; Photo: https://pokemongolife.ru/p/Ditto.png;
Number: 133; Pokemon: eevee; Give: 1SpD; Photo: https://pokemongolife.ru/p/Eevee.png;
Number: 134; Pokemon: vaporeon; Give: 2HP; Photo: https://pokemongolife.ru/p/Vaporeon.png;
Number: 135; Pokemon: jolteon; Give: 2Spe; Photo: https://pokemongolife.ru/p/Jolteon.png;
Number: 136; Pokemon: flareon; Give: 2Atk; Photo: https://pokemongolife.ru/p/Flareon.png;
Number: 137; Pokemon: porygon; Give: 1SpA; Photo: https://pokemongolife.ru/p/Porygon.png;
Number: 138; Pokemon: omanyte; Give: 1Def; Photo: https://pokemongolife.ru/p/Omanyte.png;
Number: 139; Pokemon: omastar; Give: 2Def; Photo: https://pokemongolife.ru/p/Omastar.png;
Number: 140; Pokemon: kabuto; Give: 1Def; Photo: https://pokemongolife.ru/p/Kabuto.png;
Number: 141; Pokemon: kabutops; Give: 2Atk; Photo: https://pokemongolife.ru/p/Kabutops.png;
Number: 142; Pokemon: aerodactyl; Give: 2Spe; Photo: https://pokemongolife.ru/p/Aerodactyl.png;
Number: 143; Pokemon: snorlax; Give: 2HP; Photo: https://pokemongolife.ru/p/Snorlax.png;
Number: 144; Pokemon: articuno; Give: 3SpD; Photo: https://pokemongolife.ru/p/Articuno.png;
Number: 145; Pokemon: zapdos; Give: 3SpA; Photo: https://pokemongolife.ru/p/Zapdos.png;
Number: 146; Pokemon: moltres; Give: 3SpA; Photo: https://pokemongolife.ru/p/Moltres.png;
Number: 147; Pokemon: dratini; Give: 1Atk; Photo: https://pokemongolife.ru/p/Dratini.png;
Number: 148; Pokemon: dragonair; Give: 2Atk; Photo: https://pokemongolife.ru/p/Dragonair.png;
Number: 149; Pokemon: dragonite; Give: 3Atk; Photo: https://pokemongolife.ru/p/Dragonite.png;
Number: 150; Pokemon: mewtwo; Give: 3SpA; Photo: https://pokemongolife.ru/p/Mewtwo.png;
Number: 151; Pokemon: mew; Give: 3HP; Photo: https://pokemongolife.ru/p/Mew.png;
Number: 152; Pokemon: chikorita; Give: 1SpD; Photo: https://pokemongolife.ru/p/Chikorita.png;
Number: 153; Pokemon: bayleef; Give: 1Def, 1SpD; Photo: https://pokemongolife.ru/p/Bayleef.png;
Number: 154; Pokemon: meganium; Give: 1Def, 2SpD; Photo: https://pokemongolife.ru/p/Meganium.png;
Number: 155; Pokemon: cyndaquil; Give: 1Spe; Photo: https://pokemongolife.ru/p/Cyndaquill.png;
Number: 156; Pokemon: quilava; Give: 1SpA, 1Spe; Photo: https://pokemongolife.ru/p/Quilava.png;
Number: 157; Pokemon: typhlosion; Give: 3SpA; Photo: https://pokemongolife.ru/p/Typhlosion.png;
Number: 158; Pokemon: totodile; Give: 1Atk; Photo: https://pokemongolife.ru/p/Totodile.png;
Number: 159; Pokemon: croconaw; Give: 1Atk, 1Def; Photo: https://pokemongolife.ru/p/Croconaw.png;
Number: 160; Pokemon: feraligatr; Give: 2Atk, 1Def; Photo: https://pokemongolife.ru/p/Feraligatr.png;
Number: 161; Pokemon: sentret; Give: 1Atk; Photo: https://pokemongolife.ru/p/Sentret.png;
Number: 162; Pokemon: furret; Give: 1Spe; Photo: https://pokemongolife.ru/p/Furret.png;
Number: 163; Pokemon: hoothoot; Give: 1HP; Photo: https://pokemongolife.ru/p/Hoothoot.png;
Number: 164; Pokemon: noctowl; Give: 2HP; Photo: https://pokemongolife.ru/p/Noctowl.png;
Number: 165; Pokemon: ledyba; Give: 1SpD; Photo: https://pokemongolife.ru/p/Ledyba.png;
Number: 166; Pokemon: ledian; Give: 2SpD; Photo: https://pokemongolife.ru/p/Ledian.png;
Number: 167; Pokemon: spinarak; Give: 1Atk; Photo: https://pokemongolife.ru/p/Spinarak.png;
Number: 168; Pokemon: ariados; Give: 2Atk; Photo: https://pokemongolife.ru/p/Ariados.png;
Number: 169; Pokemon: crobat; Give: 3Spe; Photo: https://pokemongolife.ru/p/Crobat.png;
Number: 170; Pokemon: chinchou; Give: 1HP; Photo: https://pokemongolife.ru/p/Chinchou.png;
Number: 171; Pokemon: lanturn; Give: 2HP; Photo: https://pokemongolife.ru/p/Lanturn.png;
Number: 172; Pokemon: pichu; Give: 1Spe; Photo: https://pokemongolife.ru/p/Pichu.png;
Number: 173; Pokemon: cleffa; Give: 1SpD; Photo: https://pokemongolife.ru/p/Cleffa.png;
Number: 174; Pokemon: igglybuff; Give: 1HP; Photo: https://pokemongolife.ru/p/Igglybuff.png;
Number: 175; Pokemon: togepi; Give: 1SpD; Photo: https://pokemongolife.ru/p/Togepi.png;
Number: 176; Pokemon: togetic; Give: 2SpD; Photo: https://pokemongolife.ru/p/Togetic.png;
Number: 177; Pokemon: natu; Give: 1SpA; Photo: https://pokemongolife.ru/p/Natu.png;
Number: 178; Pokemon: xatu; Give: 1SpA, 1Spe; Photo: https://pokemongolife.ru/p/Xatu.png;
Number: 179; Pokemon: mareep; Give: 1SpA; Photo: https://pokemongolife.ru/p/Mareep.png;
Number: 180; Pokemon: flaaffy; Give: 2SpA; Photo: https://pokemongolife.ru/p/Flaaffy.png;
Number: 181; Pokemon: ampharos; Give: 3SpA; Photo: https://pokemongolife.ru/p/Ampharos.png;
Number: 182; Pokemon: bellossom; Give: 3SpD; Photo: https://pokemongolife.ru/p/Bellossom.png;
Number: 183; Pokemon: marill; Give: 2HP; Photo: https://pokemongolife.ru/p/Marill.png;
Number: 184; Pokemon: azumarill; Give: 3HP; Photo: https://pokemongolife.ru/p/Azumarill.png;
Number: 185; Pokemon: sudowoodoo; Give: 2Def; Photo: https://pokemongolife.ru/p/Sudowoodoo.png;
Number: 186; Pokemon: politoed; Give: 3SpD; Photo: https://pokemongolife.ru/p/Politoed.png;
Number: 187; Pokemon: hoppip; Give: 1SpD; Photo: https://pokemongolife.ru/p/Hoppip.png;
Number: 188; Pokemon: skiploom; Give: 2Spe; Photo: https://pokemongolife.ru/p/Skiploom.png;
Number: 189; Pokemon: jumpluff; Give: 3Spe; Photo: https://pokemongolife.ru/p/Jumpluff.png;
Number: 190; Pokemon: aipom; Give: 1Spe; Photo: https://pokemongolife.ru/p/Aipom.png;
Number: 191; Pokemon: sunkern; Give: 1SpA; Photo: https://pokemongolife.ru/p/Sunkern.png;
Number: 192; Pokemon: sunflora; Give: 2SpA; Photo: https://pokemongolife.ru/p/Sunflora.png;
Number: 193; Pokemon: yanma; Give: 1Spe; Photo: https://pokemongolife.ru/p/Yanma}.png;
Number: 194; Pokemon: wooper; Give: 1HP; Photo: https://pokemongolife.ru/p/Wooper.png;
Number: 195; Pokemon: quagsire; Give: 2HP; Photo: https://pokemongolife.ru/p/Quagsire.png;
Number: 196; Pokemon: espeon; Give: 2SpA; Photo: https://pokemongolife.ru/p/Espeon.png;
Number: 197; Pokemon: umbreon; Give: 2SpD; Photo: https://pokemongolife.ru/p/Umbreon.png;
Number: 198; Pokemon: murkrow; Give: 1Spe; Photo: https://pokemongolife.ru/p/Murkrow.png;
Number: 199; Pokemon: slowking; Give: 3SpD; Photo: https://pokemongolife.ru/p/Slowking.png;
Number: 200; Pokemon: misdeavus; Give: 1SpD; Photo: https://pokemongolife.ru/p/Misdreavus.png;
Number: 201; Pokemon: unown; Give: 1Atk; Photo: https://pokemongolife.ru/p/Unown.png;
Number: 202; Pokemon: wobbuffet; Give: 2HP; Photo: https://pokemongolife.ru/p/Wobbuffet.png;
Number: 203; Pokemon: girafarig; Give: 2SpA; Photo: https://pokemongolife.ru/p/Girafarig.png;
Number: 204; Pokemon: pimeco; Give: 1Def; Photo: https://pokemongolife.ru/p/Pimeco.png;
Number: 205; Pokemon: forretress; Give: 2Def; Photo: https://pokemongolife.ru/p/Forretress.png;
Number: 206; Pokemon: dunsparce; Give: 1HP; Photo: https://pokemongolife.ru/p/Dunsparce.png;
Number: 207; Pokemon: gligar; Give: 1Def; Photo: https://pokemongolife.ru/p/Gligar.png;
Number: 208; Pokemon: steelix; Give: 2Def; Photo: https://pokemongolife.ru/p/Steelix.png;
Number: 209; Pokemon: snubbull; Give: 1Atk; Photo: https://pokemongolife.ru/p/Snubbull.png;
Number: 210; Pokemon: granbull; Give: 2Atk; Photo: https://pokemongolife.ru/p/Granbull.png;
Number: 211; Pokemon: qwillfish; Give: 1Atk; Photo: https://pokemongolife.ru/p/Qwillfish.png;
Number: 212; Pokemon: scizor; Give: 2Atk; Photo: https://pokemongolife.ru/p/Scizor.png;
Number: 213; Pokemon: shuckle; Give: 1Def, 1SpD; Photo: https://pokemongolife.ru/p/Shuckle.png;
Number: 214; Pokemon: heracross; Give: 2Atk; Photo: https://pokemongolife.ru/p/Shuckle.png;
Number: 215; Pokemon: sneasel; Give: 1Spe; Photo: https://pokemongolife.ru/p/Sneasel.png;
Number: 216; Pokemon: teddiursa; Give: 1Atk; Photo: https://pokemongolife.ru/p/Teediursa.png;
Number: 217; Pokemon: ursaring; Give: 2Atk; Photo: https://pokemongolife.ru/p/Ursaring.png;
Number: 218; Pokemon: slugma; Give: 1SpA; Photo: https://pokemongolife.ru/p/Slugma.png;
Number: 219; Pokemon: magcargo; Give: 2Def; Photo: https://pokemongolife.ru/p/Magcargo.png;
Number: 220; Pokemon: swinub; Give: 1Atk; Photo: https://pokemongolife.ru/p/Swinub.png;
Number: 221; Pokemon: piloswine; Give: 1HP, 1Atk; Photo: https://pokemongolife.ru/p/Piloswine.png;
Number: 222; Pokemon: corsola; Give: 1Def; Photo: https://pokemongolife.ru/p/Corsola.png;
Number: 223; Pokemon: remoraid; Give: 1SpA; Photo: https://pokemongolife.ru/p/Remoraid.png;
Number: 224; Pokemon: octillery; Give: 1Atk, 1SpA; Photo: https://pokemongolife.ru/p/Octillery.png;
Number: 225; Pokemon: delibird; Give: 1Spe; Photo: https://pokemongolife.ru/p/Delibird.png;
Number: 226; Pokemon: mantine; Give: 2SpD; Photo: https://pokemongolife.ru/p/Mantine.png;
Number: 227; Pokemon: skarmory; Give: 2Def; Photo: https://pokemongolife.ru/p/Skarmory.png;
Number: 228; Pokemon: houndour; Give: 1SpA; Photo: https://pokemongolife.ru/p/Houndour.png;
Number: 229; Pokemon: houndoom; Give: 2SpA; Photo: https://pokemongolife.ru/p/Houndoom.png;
Number: 230; Pokemon: kingdra; Give: 1Atk, 1SpA, 1SpD; Photo: https://pokemongolife.ru/p/Kingdra.png;
Number: 231; Pokemon: phanpy; Give: 1HP; Photo: https://pokemongolife.ru/p/Phanpy.png;
Number: 232; Pokemon: donphan; Give: 1Atk, 1Def; Photo: https://pokemongolife.ru/p/Donphan.png;
Number: 233; Pokemon: porygon2; Give: 2SpA; Photo: https://pokemongolife.ru/p/Porygon2.png;
Number: 234; Pokemon: stantler; Give: 1Atk; Photo: https://pokemongolife.ru/p/Stanler.png;
Number: 235; Pokemon: smeargle; Give: 1Spe; Photo: https://pokemongolife.ru/p/Smergle.png;
Number: 236; Pokemon: tyrogue; Give: 1Atk; Photo: https://pokemongolife.ru/p/Tyrogue.png;
Number: 237; Pokemon: hitmontop; Give: 2SpD; Photo: https://pokemongolife.ru/p/Hitmontop.png;
Number: 238; Pokemon: smoochum; Give: 1SpA; Photo: https://pokemongolife.ru/p/Smoochum.png;
Number: 239; Pokemon: elekid; Give: 1Spe; Photo: https://pokemongolife.ru/p/Elekid.png;
Number: 240; Pokemon: magby; Give: 1Spe; Photo: https://pokemongolife.ru/p/Magby.png;
Number: 241; Pokemon: miltank; Give: 2Def; Photo: https://pokemongolife.ru/p/Miltank.png;
Number: 242; Pokemon: blissey; Give: 3HP; Photo: https://pokemongolife.ru/p/Blissey.png;
Number: 243; Pokemon: raikou; Give: 1SpA, 2Spe; Photo: https://pokemongolife.ru/p/Raikou.png;
Number: 244; Pokemon: entei; Give: 1HP, 2Atk; Photo: https://pokemongolife.ru/p/Entei.png;
Number: 245; Pokemon: suicune; Give: 1Def, 2SpD; Photo: https://pokemongolife.ru/p/Suicune.png;
Number: 246; Pokemon: larvitar; Give: 1Atk; Photo: https://pokemongolife.ru/p/Larvitar.png;
Number: 247; Pokemon: pupitar; Give: 2Atk; Photo: https://pokemongolife.ru/p/Pupitar.png;
Number: 248; Pokemon: tyranitar; Give: 3Atk; Photo: https://pokemongolife.ru/p/Tyranitar.png;
Number: 249; Pokemon: lugia; Give: 3SpD; Photo: https://pokemongolife.ru/p/Lugia.png;
Number: 250; Pokemon: ho-oh; Give: 3SpD; Photo: https://pokemongolife.ru/p/Ho-Oh.png;
Number: 251; Pokemon: celebi; Give: 3HP; Photo: https://pokemongolife.ru/p/Celebi.png;
Number: 252; Pokemon: treecko; Give: 1Spe; Photo: https://pokemongolife.ru/p/Treecko.png;
Number: 253; Pokemon: grovyle; Give: 2Spe; Photo: https://pokemongolife.ru/p/Grovyle.png;
Number: 254; Pokemon: sceptile; Give: 3Spe; Photo: https://pokemongolife.ru/p/Sceptile.png;
Number: 255; Pokemon: torchik; Give: 1SpA; Photo: https://pokemongolife.ru/p/Torchik.png;
Number: 256; Pokemon: combusken; Give: 1Atk, 1SpA; Photo: https://pokemongolife.ru/p/Combusken.png;
Number: 257; Pokemon: blaziken; Give: 3Atk; Photo: https://pokemongolife.ru/p/Blaziken.png;
Number: 258; Pokemon: mudkip; Give: 1Atk; Photo: https://pokemongolife.ru/p/Mudkip.png;
Number: 259; Pokemon: marshtomp; Give: 2Atk; Photo: https://pokemongolife.ru/p/Marshtomp.png;
Number: 260; Pokemon: swampert; Give: 3Atk; Photo: https://pokemongolife.ru/p/Swampert.png;
Number: 261; Pokemon: poochyena; Give: 1Atk; Photo: https://pokemongolife.ru/p/Poochyena.png;
Number: 262; Pokemon: mightyena; Give: 2Atk; Photo: https://pokemongolife.ru/p/Mightyena.png;
Number: 263; Pokemon: zigzagoon; Give: 1Spe; Photo: https://pokemongolife.ru/p/Zigzagoon.png;
